Nombre,Puntuación Reseña,Distancia Centro,Ciudad,Dirección,Precio Final (€)
Appart'City Collection Paris Gare de Lyon,Fabuleux,2.91,Paris,114 Avenue Daumesnil,N/A
Citadines Saint-Germain-des-Prés Paris,Très bien,0.78,Paris,"53 Ter, Quai des Grands Augustins",N/A
Aparthotel Adagio Paris Centre Tour Eiffel,Bien,4.89,Paris,14 rue du Théâtre,N/A
Hotel Monceau Wagram,Bien,4.68,Paris,"7, Rue Rennequin",N/A
Hotel Résidence Montebello,Très bien,2.51,Paris,18 Rue Pierre Leroux,N/A
Amiral Hôtel,Bien,3.52,Paris,98 Avenue d'Italie,N/A
Les Halles & Montorgueil - 1BR - CityApartmentStay,Passable,1.17,Paris,,N/A
Aparthotel Adagio Porte de Versailles,Bien,5.89,Paris,"16, rue Eliane Jeannin Garreau",N/A
Mode Paris Aparthotel,Fabuleux,4.96,Paris,4 Rue Leroux,N/A
Timhotel Opéra Blanche Fontaine,Très bien,3.17,Paris,34 Rue Pierre Fontaine,N/A
Yuna Porte-Maillot - ApartHotel,Fabuleux,5.85,Paris,48 Rue Jacques Ibert,N/A
Beautiful appartment in the heart of Paris,Fabuleux,1.26,Paris,1er étage gauche 251 Rue Saint-Denis,N/A
Les Jardins Du Marais,Très bien,1.28,Paris,"74, rue Amelot",N/A
Pere Lachaise Apartment,Superbe,2.39,Paris,16 cite joly,N/A
Mercure Paris Alesia,Très bien,4.19,Paris,185 Boulevard Brune,N/A
La Belle Ville,Superbe,4.58,Paris,349 Rue de Belleville,N/A
Hotel Villa Romantic & Spa,Superbe,2.48,Paris,35 rue du Banquier,N/A
Beautiful 1-bedroom apartment 4pers rue du commerce Eiffeil Tower,Bien,4.22,Paris,43 rue du commerce,N/A
Citadines Opéra Paris,Très bien,1.90,Paris,"18, Rue Favart",N/A
Résidence Le Marais by Studio prestige,Très bien,0.73,Paris,88 Rue du Temple,N/A
